1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
250	-0.795424	297.040543	0.004761	18.6
251	-0.841573	296.533936	0.007304	17.9
252	-1.087306	296.029626	0.011930	22.3
253	-0.659160	295.527597	0.006330	20.5
254	-0.468891	295.027832	0.004666	23.0
255	-0.484935	294.530315	0.008295	17.4
256	-1.207348	294.035028	0.021193	17.3
257	-0.321620	293.541956	0.003695	19.1
258	-1.089019	293.051083	0.010354	19.6
259	-0.500981	292.562393	0.004703	18.9
260	-0.323329	292.075870	0.003569	26.9
261	-0.599743	291.591498	0.004907	20.6
262	-0.610836	291.109263	0.005054	17.4
263	-0.936371	290.629149	0.008728	17.9
264	-0.036768	290.151140	0.001602	18.1
265	-0.738927	289.675222	0.008367	16.9
266	-0.415767	289.201380	0.003364	25.4
267	-0.726749	288.729600	0.005689	16.0
268	-0.234111	288.259866	0.004338	17.6
269	-0.867040	287.792165	0.005137	21.1
270	-0.650382	287.326481	0.008068	17.9
271	-0.940933	286.862802	0.018808	18.2
272	-0.052700	286.401113	0.002594	22.5
273	-0.705485	285.941400	0.007035	20.0
274	-0.920077	285.483649	0.013472	18.9
275	-1.005704	285.027847	0.014323	18.5
276	-0.546855	284.573981	0.004531	18.8
277	-0.872993	284.122037	0.005997	18.3
278	-0.850418	283.672002	0.014414	24.9
279	-0.240478	283.223863	0.003159	17.0
280	-0.740330	282.777607	0.006428	19.4
281	-0.705085	282.333221	0.009186	17.5
282	-0.000121	281.890692	0.000024	17.5
283	-0.666763	281.450008	0.004049	16.1
284	-0.643718	281.011157	0.004718	18.5
285	-0.189430	280.574125	0.003364	21.7
286	-0.097605	280.138901	0.001789	19.3
287	-0.217749	279.705473	0.003267	16.5
288	-0.992433	279.273829	0.007418	17.9
289	-0.429699	278.843956	0.004900	21.3
290	-1.163882	278.415844	0.011988	18.7
291	-0.068321	277.989479	0.003566	26.8
292	-0.841350	277.564851	0.003678	17.4
293	-0.184468	277.141949	0.003479	17.9
294	-0.633811	276.720761	0.006258	17.3
295	-1.147338	276.301275	0.016252	17.3
296	-1.221342	275.883480	0.010565	18.0
297	-0.857856	275.467366	0.004725	22.6
298	-0.083549	275.052922	0.002044	16.6
299	-0.756107	274.640136	0.005415	18.3
300	-0.896302	274.228998	0.004603	17.3
301	-0.830835	273.819497	0.013034	18.4
302	-0.053323	273.411623	0.001803	18.4
303	-0.754663	273.005365	0.012522	25.2
304	-0.586296	272.600712	0.006283	22.0
305	-0.513042	272.197655	0.008082	20.2
306	-0.556997	271.796184	0.006860	17.5
307	-0.678890	271.396287	0.006647	18.2
308	-0.857438	270.997956	0.008682	17.9
309	-0.496422	270.601180	0.002484	20.3
310	-0.430540	270.205949	0.005137	21.0
311	-0.077304	269.812254	0.001631	16.8
312	-0.958292	269.420085	0.011889	19.1
313	-0.973211	269.029432	0.004995	18.2
314	-0.987600	268.640287	0.007574	16.8
315	-0.771824	268.252638	0.005105	17.1
316	-0.510851	267.866478	0.004744	25.7
317	-1.204706	267.481796	0.018577	15.0
318	-0.774090	267.098584	0.005594	19.5
319	-0.631469	266.716833	0.004999	20.4
320	-0.852993	266.336533	0.006102	18.3
321	-0.715253	265.957676	0.005321	19.2
322	-0.275415	265.580253	0.004616	24.0
323	-0.105682	265.204254	0.002540	17.1
324	-0.665141	264.829672	0.003864	18.0
325	-0.750174	264.456497	0.017209	19.2
326	-0.823149	264.084721	0.007398	16.5
327	-0.737551	263.714335	0.010081	16.4
328	-0.143419	263.345332	0.003100	17.7
329	-0.587472	262.977702	0.004203	22.9
330	-0.055097	262.611438	0.002275	16.3
331	-0.653723	262.246531	0.004360	19.0
332	-0.550760	261.882973	0.009685	18.9
333	-0.000002	261.520756	0.000001	18.6
334	-0.814544	261.159871	0.003660	21.1
335	-0.878078	260.800312	0.004084	33.0
336	-0.396540	260.442070	0.004846	20.8
337	-0.840428	260.085137	0.006481	16.9
338	-0.003981	259.729505	0.000709	19.1
339	-0.770371	259.375167	0.004783	18.9
340	-0.817169	259.022116	0.005299	24.5
341	-0.433435	258.670343	0.006091	23.5
342	-0.000044	258.319841	0.000015	20.2
343	-0.889847	257.970602	0.004715	23.2
344	-0.731563	257.622620	0.004337	23.4
345	-0.539173	257.275887	0.005990	20.8
346	-0.878929	256.930396	0.012880	21.4
347	-1.026491	256.586139	0.009374	35.3
348	-0.762175	256.243109	0.008953	29.5
349	-0.701110	255.901300	0.004386	24.0
350	-0.572368	255.560703	0.006706	22.9
351	-1.082964	255.221313	0.009421	23.8
352	-0.802920	254.883122	0.003973	23.4
353	-0.833798	254.546124	0.012338	23.4
354	-0.611571	254.210311	0.003137	22.5
355	-0.659714	253.875677	0.003609	18.8
356	-0.438820	253.542215	0.005084	20.8
357	-0.913145	253.209918	0.004820	19.0
358	-0.592350	252.878781	0.004316	15.6
359	-1.071841	252.548795	0.012168	19.9
360	-0.598264	252.219956	0.005518	22.3
361	-0.282975	251.892255	0.004661	18.9
362	-0.903522	251.565688	0.009711	20.3
363	-0.093691	251.240247	0.003504	19.5
364	-0.037159	250.915926	0.002499	20.2
365	-0.800366	250.592720	0.003895	24.1
366	-0.272245	250.270621	0.005009	25.0
367	-0.520987	249.949624	0.005441	24.6
368	-0.393346	249.629723	0.005192	31.9
369	-0.911010	249.310911	0.009628	25.6
370	-0.755343	248.993182	0.004007	29.2
371	-0.103739	248.676531	0.001352	19.3
372	-0.664591	248.360952	0.003642	32.9
373	-0.797215	248.046438	0.005482	18.3
374	-0.984829	247.732984	0.009065	18.4
375	-0.748431	247.420584	0.006312	26.9
376	-0.876550	247.109233	0.005465	16.6
377	-0.676162	246.798924	0.006552	19.7
378	-1.016878	246.489652	0.005002	19.3
379	-0.840583	246.181412	0.005084	18.6
380	-1.010395	245.874197	0.006263	18.1
